ID,Year,Group_Name,Persons,Area
251,2008,1,12,6
252,2008,1,619,7
253,2008,1,6,8
254,2008,1,2,9
255,2008,1,324,10
256,2008,1,20,11
257,2008,1,248,12
258,2008,1,529,13
259,2008,1,129,2
260,2008,1,194,15
261,2008,1,451,16
262,2008,1,353,17
263,2008,1,325,18
264,2008,1,0,19
265,2008,1,2888,20
266,2008,1,1221,21
267,2008,1,0,22
268,2008,1,20,23
269,2008,1,10,24
270,2008,1,3,25
271,2008,1,667,26
272,2008,1,2,27
273,2008,1,410,28
274,2008,1,623,29
275,2008,1,2,30
276,2008,1,472,31
277,2008,1,84,32
278,2008,1,1181,33
279,2008,1,105,34
280,2008,1,1351,5
281,2009,1,2,1
282,2009,1,1278,2
283,2009,1,2,3
284,2009,1,408,4
285,2009,1,1031,5
286,2009,1,19,6
287,2009,1,577,7
288,2009,1,1,8
289,2009,1,0,9
290,2009,1,249,10
291,2009,1,20,11
292,2009,1,244,12
293,2009,1,492,13
294,2009,1,125,14
295,2009,1,266,15
296,2009,1,508,16
297,2009,1,468,17
298,2009,1,329,18
299,2009,1,0,19
300,2009,1,2536,20
301,2009,1,1136,21
302,2009,1,0,22
303,2009,1,18,23
304,2009,1,21,9
305,2009,1,1,25
306,2009,1,641,26
307,2009,1,2,27
308,2009,1,429,28
309,2009,1,545,29
310,2009,1,12,30
311,2009,1,439,31
312,2009,1,144,32
313,2009,1,1381,33
314,2009,1,116,34
315,2009,1,1088,35
316,2010,1,0,1
317,2010,1,1134,2
318,2010,1,2,3
319,2010,1,532,4
320,2010,1,1188,5
321,2010,1,24,6
322,2010,1,762,12
323,2010,1,2,8
324,2010,1,0,9
325,2010,1,331,10
326,2010,1,25,11
327,2010,1,255,12
328,2010,1,557,13
329,2010,1,146,14
330,2010,1,205,15
331,2010,1,482,16
332,2010,1,497,17
333,2010,1,281,18
334,2010,1,0,19
335,2010,1,2710,20
336,2010,1,1243,21
337,2010,1,6,22
338,2010,1,10,23
339,2010,1,3,24
340,2010,1,5,25
341,2010,1,855,26
342,2010,1,0,27
343,2010,1,469,3
344,2010,1,663,29
345,2010,1,2,30
346,2010,1,512,31
347,2010,1,180,32
348,2010,1,1218,33
349,2010,1,118,34
350,2010,1,987,35
351,2001,2,2,1
352,2001,2,717,2
353,2001,2,5,3
354,2001,2,501,4
355,2001,2,614,5
356,2001,2,18,6
357,2001,2,98,7
358,2001,2,0,8
359,2001,2,5,9
360,2001,2,153,10
361,2001,2,30,22
362,2001,2,466,12
363,2001,2,223,13
364,2001,2,43,14
365,2001,2,554,15
366,2001,2,140,16
367,2001,2,371,17
368,2001,2,90,18
369,2001,2,0,19
370,2001,2,812,20
371,2001,2,709,21
372,2001,2,2,22
373,2001,2,3,23
374,2001,2,1,24
375,2001,2,0,25
376,2001,2,444,26
377,2001,2,0,27
378,2001,2,115,28
379,2001,2,1314,29
380,2001,2,0,30
381,2001,2,535,31
382,2001,2,16,12
383,2001,2,1423,33
384,2001,2,69,34
385,2001,2,501,35
386,2002,2,6,1
387,2002,2,642,2
388,2002,2,0,3
389,2002,2,416,4
390,2002,2,671,5
391,2002,2,23,6
392,2002,2,201,7
393,2002,2,1,8
394,2002,2,9,9
395,2002,2,63,10
396,2002,2,5,11
397,2002,2,420,12
398,2002,2,357,12
399,2002,2,56,14
400,2002,2,400,15
401,2002,2,270,16
402,2002,2,276,17
403,2002,2,76,18
404,2002,2,0,19
405,2002,2,1028,20
406,2002,2,843,21
407,2002,2,0,22
408,2002,2,2,23
409,2002,2,0,24
410,2002,2,0,25
411,2002,2,443,26
412,2002,2,4,27
413,2002,2,168,28
